text,type,count-occurences-total,count-documents
December 2019,DATE,6,6
COVID-19-related,PERSON,1,1
88.50%,PERCENT,1,1
Hakak,GPE,1,1
Deepa,GPE,1,1
Prabadevi,GPE,1,1
Trelova,ORG,1,1
United Kingdom,GPE,4,4
New Zealand,GPE,2,1
Stefano Landi,PERSON,1,1
Antonio Costantini,PERSON,1,1
Marco Fasan,PERSON,1,1
Michele Bonazzi,PERSON,1,1
today,DATE,77,68
Transformer,ORG,1,1
a few minutes,TIME,1,1
Crown,ORG,1,1
CiteSpace,ORG,1,1
7248,CARDINAL,1,1
English,LANGUAGE,70,50
145,CARDINAL,1,1
graphs,NORP,6,5
six,CARDINAL,37,31
the last 10 years,DATE,2,2
annually,DATE,1,1
the People's Republic of China,GPE,1,1
the United States of America,GPE,5,5
Cable News Network,ORG,1,1
Jianhua Dai,PERSON,1,1
Jingxin Xu,PERSON,1,1
WWW,ORG,2,2
DL,NORP,1,1
RDL,ORG,2,1
algorithm,ORG,21,20
EML-LF,ORG,1,1
Tech Science Press,ORG,8,8
Daily,DATE,1,1
Healthcare,ORG,4,3
IOS Press,ORG,10,6
Lee McIntyre,PERSON,1,1
Post-Truth,ORG,3,3
MIT Press,ORG,1,1
Cailin O’Connor,PERSON,1,1
James Weatherall,PERSON,1,1
Yale University Press,ORG,1,1
the Arts and Humanities,ORG,1,1
1997,DATE,2,2
silicon valley,LOC,1,1
Fogg,ORG,4,2
Morgan Kaufmann,PERSON,1,1
2003,DATE,5,4
Hamari et al,PERSON,1,1
eds,CARDINAL,1,1
Persuasive Technology,ORG,1,1
Springer International Publishing,ORG,1,1
Harris,PERSON,1,1
Lanier,PERSON,1,1
Simon & Schuster,ORG,1,1
Ten,CARDINAL,2,2
Picador,GPE,1,1
417,CARDINAL,1,1
TN,ORG,3,1
FN,ORG,12,3
356,CARDINAL,1,1
The World Health Organization,ORG,2,2
"March 11, 2020",DATE,1,1
"Twitter, Facebook",ORG,1,1
CT,ORG,9,2
RoBERTa,GPE,5,2
BERT,ORG,27,18
AlBERT,ORG,1,1
CT-BERT,PRODUCT,3,2
RoBERTa,PERSON,1,1
DL,PRODUCT,6,4
98.88%,PERCENT,1,1
98.93%,PERCENT,1,1
EDP Sciences,ORG,5,5
Springer-Verlag GmbH,ORG,8,8
Springer Nature,PERSON,19,19
Three,CARDINAL,13,13
Springer-Verlag GmbH Austria,ORG,7,7
Springer Nature,WORK_OF_ART,8,8
Brazil,GPE,44,29
"1,328",CARDINAL,1,1
Brazilians,NORP,3,2
Brasileira de Psicologia,PERSON,1,1
social media platforms,ORG,3,2
detect fake news,ORG,1,1
Fuzzy CRNN,PERSON,1,1
CRNN,ORG,1,1
CRNN,PRODUCT,1,1
99.99,CARDINAL,1,1
0.01%,PERCENT,1,1
Lebanon,GPE,3,2
"July–August, 2020",DATE,1,1
1052,DATE,1,1
40%,PERCENT,2,2
82%,PERCENT,4,4
52%,PERCENT,2,2
19.7%,PERCENT,1,1
63.8%,PERCENT,1,1
Watsapp,ORG,2,1
MoPH,PERSON,1,1
0.43,CARDINAL,1,1
0.01,CARDINAL,1,1
0.05,CARDINAL,3,3
CanarDeep,ORG,1,1
HAN,ORG,2,1
MLP,ORG,3,3
PHEME,PRODUCT,1,1
4.45%,PERCENT,1,1
Springer-Verlag London Ltd.,ORG,5,5
Springer Nature,ORG,5,5
covid-19,CARDINAL,1,1
RD,EVENT,1,1
GCN,ORG,7,3
GAT,ORG,2,1
SAGE,PRODUCT,1,1
GNN,ORG,3,3
SAGE,ORG,1,1
POD,ORG,1,1
COVID,ORG,20,16
the Creative Commons Attribution License,ORG,28,28
Digital,ORG,14,13
1123,DATE,1,1
Elsevier Ltd,ORG,16,16
pre-Covid,PERSON,1,1
5G.,CARDINAL,1,1
Facebook,PERSON,5,5
2013,CARDINAL,24,24
MUFFLE,ORG,3,1
NDCG,PRODUCT,1,1
News Monitor,ORG,4,1
KB,PERSON,1,1
92%,PERCENT,4,4
thousands,CARDINAL,8,7
1802,CARDINAL,1,1
Israel,GPE,2,2
~64%,PERCENT,1,1
Almost half,CARDINAL,2,2
45%,PERCENT,1,1
0.470,CARDINAL,1,1
0.359,CARDINAL,1,1
0.615,CARDINAL,1,1
χ2,CARDINAL,1,1
30.366,CARDINAL,1,1
p &lt,ORG,1,1
One,CARDINAL,72,68
the Natural Language Processing,ORG,2,2
7.92%,PERCENT,1,1
1.54%,PERCENT,1,1
17.31%,PERCENT,1,1
8.13%,PERCENT,1,1
GitHub,ORG,3,3
Arabic,LANGUAGE,17,10
Arabic,NORP,8,6
OSN,ORG,3,3
Sybil Guard,ORG,1,1
Sybil,ORG,1,1
River Publishers,ORG,1,1
Microsoft,ORG,1,1
Snapchat,ORG,1,1
Amazon,ORG,3,3
Flipkart,ORG,1,1
eBay,ORG,1,1
Instagram,ORG,1,1
Pin,PERSON,1,1
Twitter,PERSON,43,34
millions,CARDINAL,15,15
Blockchain,GPE,11,7
CryptoNight,ORG,1,1
BCDSMM-CNYAC,ORG,1,1
Cronbach,PRODUCT,2,2
2011-2020,DATE,1,1
the PRISMA protocol,LAW,1,1
ERIC,PERSON,1,1
Eight,CARDINAL,2,2
seven,CARDINAL,23,22
First,ORDINAL,39,39
nearly five,CARDINAL,1,1
OJCMT,ORG,2,2
NLU,ORG,1,1
308,CARDINAL,2,2
ISO9214,ORG,1,1
SBS,ORG,7,1
almost five decades,DATE,1,1
CSF,ORG,1,1
Springer Nature Singapore Pte Ltd.,ORG,2,2
46.36%,PERCENT,1,1
1.49%,PERCENT,1,1
Yelp,ORG,1,1
Anglophone K-pop,PERSON,1,1
the East-West,LOC,1,1
eight,CARDINAL,17,17
/r/bangtan,ORG,1,1
the /r/bangtan community,ORG,1,1
this East-West,LOC,1,1
COVID19,ORG,1,1
Twitter,ORG,4,3
HCQ,ORG,1,1
"1,356",CARDINAL,1,1
10 million,CARDINAL,1,1
"March 30 to July 13, 2020",DATE,1,1
Russian Public Opinion Research Center,ORG,5,5
VCIOM,ORG,5,5
SJB,ORG,2,1
Hungarian,NORP,2,1
295,CARDINAL,1,1
Hungary,GPE,2,2
Szebeni,NORP,1,1
Lönnqvist,NORP,1,1
Jasinskaja-Lahti,PERSON,1,1
the sixteenth century,DATE,1,1
the History of Communication,WORK_OF_ART,1,1
1519,DATE,1,1
1594,DATE,1,1
San Segundo,GPE,1,1
Ávila,ORG,1,1
1574,DATE,1,1
Infomations,WORK_OF_ART,1,1
Melchor Nieto,PERSON,1,1
1595,DATE,1,1
Antonio Cianca,PERSON,1,1
Universidad Complutense de Madrid,ORG,22,22
early 2020,DATE,1,1
the World Health Organization,ORG,16,16
Ying,PERSON,1,1
Cheng,PERSON,1,1
Roaa Al Feel,PERSON,1,1
Patterns,PERSON,1,1
November,DATE,1,1
Syrian,NORP,5,3
6.3%,PERCENT,1,1
ACM,ORG,18,18
IOP Publishing Ltd.,ORG,15,15
Kazakhstan,GPE,4,1
the Russian Federation,GPE,6,4
Russia,GPE,28,16
U.S.,GPE,33,29
Capitol,FAC,2,2
January 2021,DATE,1,1
eight days,DATE,1,1
25%,PERCENT,2,2
Science,ORG,7,7
605,CARDINAL,1,1
between 2016 and 2020,DATE,1,1
Kruskal-Wallis,ORG,2,2
Mann-Whitney U,ORG,2,2
CEU Ediciones,ORG,4,4
"2,277",CARDINAL,1,1
IEEE,ORG,1,1
Wiley,PERSON,1,1
July to September 2020,DATE,1,1
Kim et al,PERSON,1,1
Fake News’,ORG,1,1
Fake News,ORG,38,28
Natural Language Processing,ORG,13,13
Deep Learning,PERSON,4,4
the Artificial Intelligence (AI,ORG,1,1
Explainable Artificial Intelligence,ORG,1,1
LIME,ORG,1,1
Otsu,ORG,2,1
OELTP,ORG,1,1
DWT,ORG,1,1
Cb,PERSON,1,1
Cr,PERSON,1,1
ELTP,ORG,1,1
CASIA v1,PRODUCT,1,1
Columbia,ORG,1,1
Institute of Advanced Engineering and Science,ORG,3,3
CIE,ORG,7,1
Decades,DATE,1,1
COVID-19-related,FAC,2,2
Palestinian,NORP,2,1
the Palestinian Ministry of Health (MoH,ORG,1,1
8.65,CARDINAL,1,1
76%,PERCENT,3,3
only 33%,PERCENT,1,1
93%,PERCENT,3,3
COVID-19-related,ORG,5,5
56%,PERCENT,3,3
MoH,ORG,1,1
only 8%,PERCENT,1,1
1970-2012,DATE,1,1
301,CARDINAL,1,1
Twitter,FAC,16,15
more than 4.5 million,CARDINAL,1,1
i. e.,ORG,1,1
37.58%,PERCENT,1,1
61.44%,PERCENT,1,1
945,CARDINAL,1,1
April 2021,DATE,2,2
Romania,GPE,7,5
OLS,ORG,1,1
0.33,CARDINAL,1,1
0.13,CARDINAL,1,1
0.08,CARDINAL,2,2
N,ORG,9,9
216,CARDINAL,1,1
Artificial Intelligence,ORG,8,5
Emotion Recognition,ORG,1,1
Wiley Periodicals LLC,ORG,7,7
University of Louisiana at Lafayette,ORG,2,1
1a,CARDINAL,2,1
376,CARDINAL,2,2
Mechanical Turk,ORG,4,3
205,CARDINAL,1,1
1b,CARDINAL,1,1
201,CARDINAL,1,1
2a,CARDINAL,1,1
300,CARDINAL,6,6
2b,CARDINAL,2,1
303,CARDINAL,2,2
182,CARDINAL,1,1
the last decade,DATE,6,6
fake news,ORG,14,14
Cooley,ORG,1,1
The Revolt of the Masses,WORK_OF_ART,1,1
de las masas,PERSON,1,1
McLuhan,PERSON,2,2
Bauman,PERSON,1,1
Retrotopia,PERSON,1,1
Li-censee MDPI,PERSON,1,1
1111 Chinese,NORP,1,1
GitLab,PERSON,1,1
US,GPE,66,56
The Authors.,ORG,3,3
Policy Studies Organization,ORG,2,2
PI,ORG,2,1
December 2019 to January 2020,DATE,1,1
the Italian Paediatric Society,ORG,1,1
12 months,DATE,1,1
"July 28, 2019",DATE,2,1
"July 11, 2020",DATE,1,1
"January 6, 2020, to July 11, 2020",DATE,1,1
"January 4, 2020",DATE,1,1
daily,DATE,49,42
Facebook daily,ORG,1,1
blockchain,GPE,22,14
ProBlock,ORG,1,1
Springer Science+Business Media,ORG,10,10
LLC,ORG,27,27
541,CARDINAL,1,1
two weeks later,DATE,1,1
just two weeks ago,DATE,1,1
CHECKED,ORG,5,1
"2,104",CARDINAL,1,1
December 2019 to August 2020,DATE,1,1
"1,868,175",CARDINAL,1,1
"1,185,702",CARDINAL,1,1
"56,852,736",CARDINAL,1,1
CHECKED,PRODUCT,1,1
https://github.com/cyang03/CHECKED,PERSON,1,1
Chinese ADR Delisting Threat fake news,EVENT,1,1
a week later,DATE,1,1
Cobrapost,ORG,1,1
BA,ORG,1,1
416,CARDINAL,1,1
the Terror Management,ORG,1,1
Latin America,LOC,4,3
Markov,PERSON,2,2
Argentina,GPE,6,6
Chequeado,ORG,1,1
Agência Lupa,PERSON,3,3
Chile,GPE,2,2
Colombia,GPE,3,3
Consejo de Redacciín,GPE,1,1
Mexico,GPE,7,7
El Sabueso,GPE,1,1
Animal Polótico,GPE,1,1
Venezuela,GPE,4,4
Efecto Cocuyo,PERSON,1,1
"102,379",CARDINAL,1,1
between January and July 2020,DATE,1,1
three or fewer,CARDINAL,1,1
Experiment 1,DATE,4,4
9,CARDINAL,7,6
up to 27,CARDINAL,1,1
© 2021,PERSON,1,1
17,CARDINAL,3,3
SNS,ORG,3,2
"approximately 250,000",CARDINAL,1,1
year-long,DATE,1,1
42 million,CARDINAL,2,2
Japanese,NORP,1,1
EC,ORG,6,2
a quarter of a million,CARDINAL,1,1
Study 2,PRODUCT,2,1
292,CARDINAL,2,2
357,CARDINAL,3,3
12,CARDINAL,6,6
6,CARDINAL,17,14
the Cognitive Reflection Test,LAW,2,2
Study 2,LAW,1,1
GAN,ORG,11,6
PHEME,ORG,6,5
26.85 %,PERCENT,1,1
72.69 %,PERCENT,1,1
DT-SVMNB,ORG,2,1
Support Vector Machine,ORG,13,13
Naïve Bayesian,PERSON,1,1
NBC,ORG,3,2
around 98%,PERCENT,1,1
April 2016,DATE,1,1
the Singapore Ministry of Health,ORG,1,1
War on Diabetes,LAW,1,1
Walt,PERSON,1,1
Gilson,ORG,1,1
171,CARDINAL,1,1
WoD,ORG,3,1
YouTube,LAW,6,6
31,CARDINAL,1,1
firstly,ORDINAL,3,3
secondly,ORDINAL,6,6
Springer Nature B.V.,ORG,7,7
the past few years,DATE,5,5
Washington State,GPE,1,1
Thirdly,ORDINAL,3,3
Fourthly,ORDINAL,1,1
2020,CARDINAL,337,331
Deborah Johnson,PERSON,1,1
Luciano Floridi,PERSON,1,1
Regina Rini,PERSON,1,1
Brian Skyrms,PERSON,1,1
2010,DATE,7,7
MAML,ORG,1,1
State University of Santa Catarina,ORG,1,1
the last five years,DATE,2,2
Spanish,NORP,59,39
the period 2016-2021,DATE,1,1
a Mixed Method Research Design,ORG,1,1
FNGA,ORG,2,1
"more than 10,000",CARDINAL,2,2
7000,MONEY,1,1
JMIR Publications Inc,ORG,1,1
TMs,ORG,4,1
COVID-19-related news,ORG,2,2
One hundred and seventy-one,CARDINAL,1,1
131 females,MONEY,1,1
the additional days,DATE,1,1
around 2%,PERCENT,1,1
1003,DATE,1,1
61.2%,PERCENT,1,1
11.2%,PERCENT,1,1
2.05,CARDINAL,1,1
3.62,CARDINAL,1,1
0.1,CARDINAL,2,1
1.60,CARDINAL,1,1
CI 1.00–2.58,PERSON,1,1
the end of 2019,DATE,2,2
September 2021,DATE,1,1
two-thirds,CARDINAL,2,2
473,CARDINAL,1,1
PubliCo Survey,ORG,1,1
22,CARDINAL,5,5
PubliCo Diaries,LOC,1,1
PubliCo,PRODUCT,1,1
Giovanni Spitale,PERSON,1,1
Sonja Merten,PERSON,1,1
Kristen Jafflin,PERSON,1,1
Bettina Schwind,PERSON,1,1
Andrea Kaiser-Grolimund,PERSON,1,1
Nikola Biller-Andorno,ORG,1,1
"136,964",CARDINAL,1,1
1755,DATE,1,1
213,CARDINAL,2,2
only two,CARDINAL,3,3
French,NORP,24,11
Guiana,PERSON,3,1
South America,LOC,2,2
fourth,ORDINAL,7,7
35.7%,PERCENT,1,1
early 2021,DATE,1,1
January to March 2021,DATE,1,1
the Creative Commons Attribution,ORG,4,4
94.31%,PERCENT,1,1
FNC-1,GPE,2,2
defalsif-AI,ORG,1,1
Defalsif-AI,ORG,1,1
democratic,NORP,5,5
ein Teil von Springer Nature,PERSON,1,1
"Correctness, Neutrality, Comprehensibility, Precision, Completeness",ORG,1,1
Informativeness,ORG,1,1
180,CARDINAL,2,2
4,CARDINAL,28,23
Snopes,PERSON,2,2
Third,ORDINAL,13,13
T/F,ORG,1,1
the association of fake news,ORG,1,1
Stimulus-Organism-Behaviour-Consequence,WORK_OF_ART,1,1
390,CARDINAL,1,1
YouTube,DATE,1,1
Portuguese,LANGUAGE,7,4
"1,000",CARDINAL,1,1
100,CARDINAL,5,5
YouTube,PRODUCT,8,7
non‐Portuguese,NORP,1,1
n=106,ORG,1,1
The Health on the Net Code,ORG,1,1
0,CARDINAL,2,1
5,CARDINAL,22,15
242,CARDINAL,2,1
39.0%,PERCENT,1,1
83.5%,PERCENT,1,1
One third,CARDINAL,2,1
n=79,ORG,1,1
only one,CARDINAL,7,7
HONCode,NORP,2,1
2±1,DATE,2,1
one third,CARDINAL,2,2
Sociedade Portuguesa de CardiologiaIntrodução,PERSON,1,1
Contudo,PERSON,1,1
ausência de controlo de qualidade,ORG,1,1
da população,PERSON,1,1
Pretendemos,ORG,1,1
enfarte agudo,PERSON,1,1
1.000,CARDINAL,1,1
100 resultados da,QUANTITY,1,1
enfarte + miocárdio”,ORG,1,1
enfarte + agudo + miocárdio”,ORG,1,1
infarto + miocárdio,WORK_OF_ART,1,1
infarto + agudo + miocárdio,WORK_OF_ART,1,1
316,CARDINAL,1,1
345,CARDINAL,1,1
sem áudio,ORG,1,1
24,CARDINAL,6,6
106,CARDINAL,3,3
quanto,PERSON,1,1
qualidade foi avaliada,FAC,1,1
0‐8,CARDINAL,1,1
0‐5,CARDINAL,1,1
quanto maior,PERSON,1,1
qualidade,GPE,1,1
95,CARDINAL,1,1
39%,PERCENT,1,1
202,CARDINAL,1,1
79,CARDINAL,2,2
quaisquer imprecisões,PERSON,1,1
qualidade média,ORG,1,1
foi baixa/moderada,ORG,1,1
apresentou boa qualidade,GPE,1,1
sem imprecisões,PERSON,1,1
Instituições de saúde/governamentais,ORG,1,1
HONCode 4±1,PERSON,1,1
Sociedade Portuguesa de Cardiologia,PERSON,1,1
ten,CARDINAL,9,8
MDL,ORG,2,1
five,CARDINAL,39,38
MFND,ORG,2,1
MFDN,PRODUCT,1,1
"4,488",CARDINAL,1,1
"4,640",CARDINAL,1,1
Multi-domain,ORG,1,1
Fake News Detection Model,ORG,2,2
MDFEND,ORG,2,1
Fake News Detection Framework,ORG,1,1
Pref-FEND,PERSON,1,1
Pref-FEND,ORG,1,1
NudgeCred,ORG,3,1
five-day,DATE,1,1
twelve,CARDINAL,3,3
Questionable,ORG,1,1
anti-LGBTQ,PERSON,1,1
"4,876",CARDINAL,1,1
289,CARDINAL,1,1
SPLC,ORG,1,1
Hawkes,ORG,5,2
Stopbulos,PERSON,1,1
StopBulos,PERSON,2,1
Sociedad Interamericana de Psicologia,PERSON,1,1
McLuhan,ORG,1,1
Ortega y Gasset,PERSON,1,1
Ortega,PERSON,1,1
© 2021 Communication & Society,ORG,1,1
Polish,NORP,15,8
between January and September 2020,DATE,2,2
Poles,NORP,2,2
101,CARDINAL,1,1
25.74%,PERCENT,1,1
© 2021,ORG,3,3
Minas Gerais,ORG,1,1
Health Education,ORG,2,1
Uberaba,GPE,1,1
the months of March,DATE,1,1
the National Curriculum Guidelines,ORG,1,1
Health Education,WORK_OF_ART,1,1
the Health Education,ORG,1,1
Faculdade de Medicina de Ribeirao Preto - U.S.P,ORG,1,1
affiliation 2,DATE,1,1
Mark P. Shephard,PERSON,1,1
Narisong Huhe,PERSON,1,1
School of Government and Public Policy,ORG,1,1
"University of Strathclyde, Glasgow",ORG,1,1
Preston et al,PERSON,2,2
Kaggle,ORG,3,3
93.15%,PERCENT,1,1
92.65%,PERCENT,1,1
95.71%,PERCENT,1,1
94.15%,PERCENT,1,1
SVM,ORG,10,7
6.82%,PERCENT,1,1
this century,DATE,1,1
vectorizer,GPE,2,2
TFIDF,ORG,1,1
approximately 99.52%,PERCENT,1,1
98.63%,PERCENT,1,1
99.63%,PERCENT,1,1
99.68%,PERCENT,1,1
NOS,ORG,6,2
Wiley Periodicals,ORG,2,2
826,CARDINAL,1,1
The British Psychological Society,ORG,1,1
the last couple of years,DATE,3,3
Donald Trump,PERSON,30,28
the 20th Century,DATE,1,1
Baudrillard,PERSON,1,1
Mainstream Media,WORK_OF_ART,1,1
Russiagate,ORG,1,1
between 2017 and March 2019,DATE,1,1
Russiagate,PERSON,1,1
the Illusory Truth Effect,ORG,1,1
the Innuendo Effect,PERSON,1,1
BBC News,ORG,1,1
21,CARDINAL,4,4
Nigeria,GPE,11,6
15 March to 29 May 2020,DATE,1,1
Over 2 million,CARDINAL,1,1
the United Kingdom,GPE,12,11
Scotland,GPE,3,3
Northern Ireland,GPE,1,1
England,GPE,3,3
Vitiugin,NORP,1,1
Novillo-Ortiz,PERSON,1,1
Castillo,PERSON,1,1
Kostkova,PERSON,1,1
recent days,DATE,1,1
Vietnam,GPE,1,1
200,CARDINAL,10,9
The Author/s,LOC,1,1
Western Australian,NORP,1,1
Australian,NORP,18,9
Combining Critical Discourse,PERSON,1,1
Rhetorical Analysis,ORG,1,1
Egelhofer,PRODUCT,1,1
Lecheler,PERSON,1,1
John Benjamins Publishing Company,ORG,1,1
Iran,GPE,4,4
Western,NORP,8,7
Anglo-American,NORP,1,1
Trump,PERSON,24,17
the Harvard University's,ORG,1,1
2017 to 2021,DATE,1,1
Trump,PRODUCT,28,18
EEG,ORG,8,4
F1,PRODUCT,13,12
0.7,CARDINAL,4,4
Kwasniewicz,PERSON,2,2
Wojcik,PERSON,2,2
Schneider,PERSON,2,2
Kawiak,PERSON,2,2
Wierzbicki,ORG,2,2
Social Networks',ORG,1,1
Machine Learning,LOC,9,9
this era,DATE,5,5
Indonesia,GPE,31,17
4th,ORDINAL,1,1
More than 30%,PERCENT,2,2
Bahasa Indonesia,LOC,1,1
Web Scrapping,PERSON,1,1
1116,CARDINAL,1,1
80:20,CARDINAL,1,1
50,CARDINAL,10,9
BiLSTM,ORG,1,1
Hybrid CNN-BiLSTM,PERSON,1,1
Transformer Network,ORG,2,1
South Africa,GPE,17,8
South African,NORP,6,5
HELIOS,ORG,2,1
the HELIOS Citizen Journalism App,LAW,1,1
CJ App,ORG,1,1
IPFS,ORG,2,2
CJ,ORG,1,1
App,ORG,1,1
Brazilian,NORP,20,16
Amazon,LOC,1,1
Bill,PERSON,2,1
the Public Power,ORG,2,1
Centro Universitario FG,ORG,1,1
OSN,PRODUCT,2,2
MN,ORG,1,1
Hubei,GPE,1,1
working hours,TIME,1,1
the COVID-19 pandemic,ORG,1,1
1975 to June 2021,DATE,1,1
8964,CARDINAL,1,1
TfIdf,ORG,2,1
Nagy,PERSON,1,1
Kapusta,GPE,1,1
SIR,ORG,3,3
nine,CARDINAL,6,6
Maldita,GPE,2,2
recommenda,ORG,1,1
Nutripedia-Informati per Crescere,WORK_OF_ART,1,1
the first years,DATE,1,1
Nutripedia,GPE,3,1
“Nutripedia Chatbot”,WORK_OF_ART,1,1
Forty,CARDINAL,1,1
"more than 220,000",CARDINAL,1,1
over 9 million,CARDINAL,1,1
"14,698",CARDINAL,1,1
Nutripedia,LOC,1,1
1930,DATE,1,1
"over 24,000",CARDINAL,1,1
app,ORG,1,1
October 2020,DATE,2,2
423,CARDINAL,1,1
421,CARDINAL,1,1
BBC,ORG,5,4
hours,TIME,2,2
Newsround,LOC,1,1
Walter de Gruyter GmbH,PERSON,3,3
