text,type,count-occurences-total,count-documents
carl nielsen,PERSON,2,2
ohio state university,ORG,3,3
1948,DATE,14,13
sweden,GPE,66,42
1973,DATE,39,32
1979,DATE,37,28
12,CARDINAL,90,61
each year,DATE,21,20
"about 80,000",CARDINAL,3,3
us,GPE,259,137
"27,000",CARDINAL,2,2
u.s.,GPE,268,112
geo-exchange,ORG,2,1
30–70 percent,ORG,1,1
20–50 percent,PERCENT,1,1
last for decades,DATE,1,1
kansas city power,ORG,1,1
winter,DATE,43,28
the spring of 2007,DATE,1,1
rocky mechanical characteristics,ORG,1,1
oregon institute of technology -,ORG,1,1
the us national renewable energy lab,ORG,2,2
canadian,NORP,62,44
1971,DATE,14,12
michael m. rauhut,PERSON,1,1
laszlo j. bollyky,PERSON,1,1
robert w. sombathy,PERSON,1,1
american cyanamid,ORG,1,1
edwin a. chandross,PERSON,1,1
bell,ORG,6,5
herbert richter,PERSON,1,1
china lake naval,FAC,1,1
bernard dubrow,PERSON,1,1
eugene daniel guth,PERSON,1,1
june 1965,DATE,1,1
october 1973,DATE,1,1
clarence w. gilliam,PERSON,1,1
david iba sr.,PERSON,1,1
thomas n. hall,PERSON,1,1
june 1974,DATE,1,1
herbert p. richter,PERSON,1,1
ruth e. tedrick,PERSON,1,1
inventors.in,PERSON,1,1
january 1976,DATE,1,1
vincent j. esposito,PERSON,1,1
steven m. little,PERSON,1,1
john h. lyons,PERSON,1,1
second,ORDINAL,373,205
december 1977,DATE,1,1
richard taylor van zandt,PERSON,1,1
the early 1980s,DATE,12,12
novato,GPE,3,2
california,GPE,131,76
omniglow corp.,ORG,1,1
american cyanamid's,ORG,1,1
1994,DATE,35,30
2014,DATE,143,81
today,DATE,190,139
glow sticks,PERSON,1,1
150 metres,QUANTITY,1,1
492,CARDINAL,1,1
2,CARDINAL,583,180
the university of wisconsin–whitewater's,ORG,1,1
150th,CARDINAL,1,1
whitewater,GPE,1,1
wisconsin,GPE,5,5
9 september 2018,DATE,1,1
night,TIME,42,33
scuba,PERSON,1,1
close-quarters,DATE,1,1
nighttime,CARDINAL,2,2
un,ORG,19,16
two,CARDINAL,1498,433
brittle container,ORG,1,1
only a few seconds,TIME,3,3
as much as 200,CARDINAL,1,1
about 20–100 nm,QUANTITY,1,1
"9,10-diphenylanthracene",CARDINAL,2,2
anthracene,PERSON,3,3
"teal light
",QUANTITY,1,1
"2-chloro-9,10-diphenylanthracene",PERSON,1,1
486 nm,QUANTITY,1,1
"1-chloro-9,10-bis(phenylethynyl)anthracene",CARDINAL,1,1
"2-chloro-9,10-bis(phenylethynyl)anthracene",CARDINAL,1,1
550 nm,QUANTITY,2,2
"2,4-di",DATE,1,1
"1,4,5,8-tetracarboxynaphthalene",CARDINAL,1,1
rhodamine,NORP,1,1
"5,12-bis(phenylethynyl)naphthacene",CARDINAL,1,1
630 nm,QUANTITY,2,2
680 nm,QUANTITY,1,1
"16,17-dihexyloxyviolanthrone",CARDINAL,1,1
725,CARDINAL,1,1
"16,17-butyloxyviolanthrone",CARDINAL,1,1
"n'-bis(2,5,-di",CARDINAL,1,1
dibutyl phthalate,PERSON,1,1
"1,n6-εdado",CARDINAL,1,1
three-fold,CARDINAL,3,3
the 2020s,DATE,4,4
lumi,PERSON,1,1
glowsticks,PERSON,1,1
within few minutes,TIME,1,1
biogas,PERSON,6,5
electricity & heat,ORG,1,1
european engine power plants association,ORG,1,1
watt,PERSON,96,19
cubic,NORP,7,7
"2
      
    
    ",CARDINAL,1,1
"\displaystyle n}
   ",WORK_OF_ART,6,6
mep,ORG,6,2
n_{\text{c}}}{t \over v_{\text{d}}},WORK_OF_ART,1,1
four,CARDINAL,338,163
160,CARDINAL,27,19
n·m,GPE,2,1
2000,CARDINAL,16,12
\displaystyle n_{\text{c}}=2,WORK_OF_ART,4,1
0.002,CARDINAL,2,2
3,CARDINAL,291,152
1,CARDINAL,592,222
005,CARDINAL,1,1
310,CARDINAL,8,4
10.05,CARDINAL,1,1
1.005,CARDINAL,4,1
"2}{{160\,{\text{n}}{\cdot",CARDINAL,2,1
"0.002\,{\text{m}}^{3}}}={2\pi",CARDINAL,1,1
"2}{{160\,{\text{n}}{\cancel",CARDINAL,2,1
"3}}2}}}=1,005,310\,{\text{n}}{\cdot",CARDINAL,1,1
2000,DATE,55,44
"2000\,{\text{cm}}^{3}}}={2\pi",CARDINAL,1,1
"n
            
            
              ",ORG,2,2
3600,CARDINAL,6,5
min−1,WORK_OF_ART,1,1
−,ORG,253,57
60,CARDINAL,63,41
⋅,PRODUCT,17,8
300,CARDINAL,43,39
1.005\cdot,CARDINAL,1,1
"\over 2}=60,300\,{\text{w",PRODUCT,1,1
76 kw,QUANTITY,1,1
5400,CARDINAL,3,2
min−1,PRODUCT,1,1
0.844 mpa,QUANTITY,1,1
0.844,CARDINAL,2,1
75,CARDINAL,14,10
960,CARDINAL,2,2
76,CARDINAL,6,6
"76\,{\text{kw",CARDINAL,1,1
360,CARDINAL,18,8
°,PRODUCT,113,64
180,CARDINAL,26,23
720,CARDINAL,4,4
paul w. tamm,PERSON,1,1
gordon e. langlois,PERSON,1,1
chevron research company laboratory,ORG,1,1
richmond,GPE,3,3
condenser,GPE,2,2
alberta taciuk,PERSON,15,15
tosco ii,PERSON,14,14
fushun,PERSON,20,17
2001,DATE,61,41
world solar challenge,EVENT,20,10
"about 3,000 km",QUANTITY,3,3
australian,NORP,74,40
darwin,PERSON,12,11
south australia,GPE,21,16
netherlands,GPE,41,26
the days,DATE,3,2
110,CARDINAL,11,8
only 100,CARDINAL,2,2
600,CARDINAL,46,36
zero,CARDINAL,168,98
"between zero and 1,200",CARDINAL,1,1
"1,200",CARDINAL,8,7
three 400,CARDINAL,1,1
half,CARDINAL,132,80
only half,CARDINAL,5,4
british,NORP,145,85
70,CARDINAL,19,19
71,DATE,1,1
74,DATE,1,1
73,CARDINAL,4,4
london,GPE,102,64
e.g. london,PERSON,1,1
many years,DATE,27,25
years,DATE,24,24
boost converter,PERSON,1,1
paul maccready,PERSON,2,1
1981,DATE,29,21
262 km,QUANTITY,1,1
dupont in exchange,ORG,1,1
"astroflight, inc.",ORG,1,1
robert boucher,PERSON,1,1
"16,128",CARDINAL,1,1
"3,800 watts",QUANTITY,1,1
western usa,LOC,1,1
"winter 1980-1981.on july 7, 1981",DATE,1,1
163 miles,QUANTITY,1,1
paris,GPE,38,32
manston royal air force base,ORG,1,1
manston,GPE,1,1
united kingdom,GPE,39,35
5 hours and 23 minutes,TIME,1,1
stephen ptacek,PERSON,1,1
the smithsonian institution's air and space museum,ORG,1,1
three,CARDINAL,558,253
"16,128 solar",QUANTITY,1,1
3 inches,QUANTITY,3,3
17 inches,QUANTITY,1,1
kevlar,GPE,1,1
nomex,GPE,1,1
delrin,GPE,1,1
teflon,GPE,3,3
dupont,ORG,3,3
29,CARDINAL,11,9
0,CARDINAL,74,31
8.8 m,MONEY,1,1
47,CARDINAL,6,5
14.3 m,MONEY,1,1
205,CARDINAL,3,3
90 kg,QUANTITY,1,1
350,CARDINAL,25,21
159 kg,QUANTITY,1,1
1 ×,QUANTITY,3,3
2.75,CARDINAL,3,2
40 mph,QUANTITY,1,1
64 km,QUANTITY,1,1
35,CARDINAL,19,15
400,CARDINAL,38,30
645 km,QUANTITY,1,1
nmi,ORG,2,2
11  hours,TIME,1,1
"14,300 ft",QUANTITY,1,1
"4,360 m",MONEY,1,1
"35,000",CARDINAL,3,3
"11,000 m",MONEY,1,1
summer,DATE,43,29
150 ft/min,QUANTITY,1,1
0.765 m,MONEY,1,1
don monroe,PERSON,1,1
solar challenger,PRODUCT,1,1
san diego air & space museum,ORG,1,1
up to 90%,PERCENT,16,15
stephen salter,PERSON,1,1
the 1970s,DATE,48,37
the united kingdom,GPE,54,38
uk,GPE,180,101
may 2018,DATE,4,4
the university of edinburgh,ORG,2,2
1974,DATE,29,21
1976,DATE,29,20
some 20 kw,QUANTITY,1,1
1980s,DATE,7,7
1982,DATE,32,25
the department of energy,ORG,8,8
the united kingdom atomic energy authority,ORG,3,3
the late 1970s,DATE,14,13
the 9.5 million pounds,QUANTITY,1,1
the 2000s,DATE,7,7
salter,ORG,1,1
50 cm,QUANTITY,3,3
27 cm,QUANTITY,2,2
6 m,QUANTITY,1,1
coventry university,ORG,1,1
20 to 30,CARDINAL,2,2
six to ten,CARDINAL,1,1
1975,DATE,35,28
swift-hook,PERSON,1,1
0.16,CARDINAL,4,4
0.2,CARDINAL,2,2
the u for unperturbed fluid velocity perpendicular,ORG,1,1
eta,ORG,8,5
"1
        
          
            ",PERCENT,2,2
4,DATE,7,7
1-{\mathit,DATE,1,1
\times,ORG,4,3
\frac,PRODUCT,13,12
90%,PERCENT,39,34
around 50%,PERCENT,8,7
6 to 8 millimetres,QUANTITY,1,1
0.24 to 0.31,CARDINAL,1,1
320,CARDINAL,4,4
650,CARDINAL,18,14
340,CARDINAL,13,12
non-zero,CARDINAL,3,3
carnot,PERSON,3,2
lower than 300,CARDINAL,1,1
3%,PERCENT,10,9
97 percent,PERCENT,3,3
25%,PERCENT,23,19
49%,PERCENT,7,5
60%,PERCENT,22,18
john ericsson,PERSON,6,5
external combustion engines like steam engines,ORG,1,1
minto,GPE,2,2
60 cm,QUANTITY,3,3
ericsson,PERSON,19,5
otto cycle,PERSON,1,1
atkinson cycle,PERSON,1,1
atkinson engine,PERSON,1,1
brayton,PERSON,3,2
miller,ORG,6,4
electron,ORG,41,23
johnson thermoelectric energy converter,ORG,1,1
thermo-magnetic motor,ORG,1,1
nanoscale devices,ORG,1,1
e.g. electric cooling devices,ORG,1,1
hotter,TIME,7,6
\displaystyle w=-q=-(q_{c}+q_{h},WORK_OF_ART,1,1
∮,PRODUCT,1,1
"0
      
    
    ",PERCENT,6,4
"\displaystyle q_{c}=-|q_{c}|<0}
   ",WORK_OF_ART,1,1
|w|}{q_{h}}}={\frac,WORK_OF_ART,1,1
less than 100%,PERCENT,3,3
"\displaystyle q_{c}=t_{c}\delta s_{c}}
  ",WORK_OF_ART,1,1
\displaystyle q_{h}/t_{h}+q_{c}/t_{c}=0,WORK_OF_ART,1,1
1,PRODUCT,3,3
"\displaystyle t_{h}}
   ",WORK_OF_ART,3,2
"−
        
          ",PERSON,15,9
\displaystyle dq_{h,PERSON,1,1
"\displaystyle t\approx t'}
   ",WORK_OF_ART,1,1
1-{\frac,DATE,3,3
1-{\sqrt,DATE,1,1
1985,DATE,33,30
the 18th century,DATE,11,11
at least two,CARDINAL,8,8
kalina,GPE,3,3
70/30,CARDINAL,1,1
xenon,PERSON,11,8
so2,PRODUCT,1,1
no2,WORK_OF_ART,1,1
n2o4,ORG,2,1
no2,ORG,2,1
fed,ORG,50,40
ga2i6,ORG,1,1
kroemer,GPE,1,1
herbert,GPE,1,1
kittel,PERSON,1,1
charles,PERSON,7,6
1980,DATE,53,33
2nd,ORDINAL,25,21
w. h. freeman,PERSON,1,1
0-7167-,CARDINAL,1,1
herbert b.,PERSON,1,1
thermodynamics,PERSON,3,3
"john wiley & sons, inc.",ORG,2,2
robinson,PERSON,2,2
clark,PERSON,2,2
magraw-hill book company inc,ORG,1,1
2013,DATE,167,89
bridgestone world solar challenge,ORG,1,1
3000 kilometres,QUANTITY,1,1
four-year,DATE,7,6
2019,DATE,117,65
2023,CARDINAL,1,1
2021,DATE,64,36
every two years,DATE,5,4
"over 3,022 kilometres",QUANTITY,1,1
"1,878 miles",QUANTITY,1,1
fifteen,CARDINAL,5,5
1987,DATE,40,32
every three years,DATE,4,3
the turn of the century,DATE,4,4
since 2001,DATE,1,1
seven,CARDINAL,44,35
ten,CARDINAL,39,28
the delft university of technology,ORG,3,1
the netherlands,GPE,19,19
the tokai university of japan,ORG,1,1
2009,DATE,144,85
2011,DATE,168,95
the belgian agoria solar team,ORG,1,1
ku leuven university,ORG,1,1
german,NORP,180,96
bochum university of applied sciences,ORG,1,1
five,CARDINAL,85,52
eindhoven university of technology,ORG,6,3
66.9 km,QUANTITY,1,1
41.6 mph,QUANTITY,1,1
honda,ORG,33,16
55 mph,QUANTITY,1,1
88.5 km,QUANTITY,1,1
1996,DATE,34,27
2005,DATE,138,85
dutch,NORP,38,24
100 km,QUANTITY,5,3
62 mph,QUANTITY,3,1
2017,DATE,111,64
3.4,CARDINAL,10,4
69 km,QUANTITY,1,1
43 mph,QUANTITY,1,1
30th,ORDINAL,3,3
8–15 october 2017,DATE,1,1
2015,DATE,164,90
43,CARDINAL,13,11
23,CARDINAL,15,12
2998 km,QUANTITY,1,1
4,CARDINAL,203,116
less than 80 kg,QUANTITY,1,1
8 a.m. to 5 p.m.,TIME,1,1
overnight,TIME,6,6
10 minutes,TIME,6,5
the next day,DATE,2,2
30 minutes,TIME,3,2
approximately 5,CARDINAL,1,1
at least 3.8 m/s²,MONEY,1,1
149.6,CARDINAL,1,1
south australian,NORP,6,5
110 km/h,QUANTITY,1,1
68 mph,QUANTITY,1,1
130 km,QUANTITY,5,4
81 mph,QUANTITY,2,1
australia,GPE,155,79
6 square meters,QUANTITY,3,2
later to,TIME,1,1
3 square meters,QUANTITY,1,1
20 kg,QUANTITY,1,1
25,CARDINAL,74,54
21 kg,QUANTITY,2,2
56.6%,PERCENT,1,1
5.7%,PERCENT,1,1
18.9%,PERCENT,2,1
70%,PERCENT,32,26
5%,PERCENT,23,17
15%,PERCENT,24,23
danish,NORP,8,6
hans,NORP,11,10
4.9 m,MONEY,1,1
the 1980s,DATE,53,41
"4,052 km",QUANTITY,1,1
"2,518",CARDINAL,1,1
sydney,GPE,10,9
new south wales,GPE,12,10
perth,GPE,2,2
western australia,LOC,4,4
20 days,DATE,2,2
4th,ORDINAL,14,14
chris selwood,PERSON,1,1
1999,DATE,51,41
gm,ORG,6,5
67 km/h,QUANTITY,1,1
42 mph,QUANTITY,2,2
ford australia's,ORG,1,1
7th,ORDINAL,5,4
1990,DATE,41,27
biel school of engineering and architecture,ORG,3,1
switzerland,GPE,52,37
1993,DATE,34,28
the australian aurora team's,ORG,1,1
aurora 101,PRODUCT,1,1
american,NORP,197,104
massachusetts institute of technology,ORG,5,5
aurora,PERSON,4,1
2003,DATE,101,71
nuna 2,PRODUCT,1,1
97 km,QUANTITY,5,5
60 mph,QUANTITY,2,2
102.75 km,QUANTITY,1,1
63.85 mph,QUANTITY,1,1
fourth,ORDINAL,27,21
90.07 km,QUANTITY,1,1
55.97 mph,QUANTITY,1,1
belgian,NORP,11,11
this year,DATE,6,5
japanese,NORP,92,53
ashiya team's,ORG,2,1
93.53 km,QUANTITY,1,1
58.12 mph,QUANTITY,1,1
100.54 km,QUANTITY,1,1
62.47 mph,QUANTITY,1,1
the university of new south wales,ORG,5,4
osaka sangyo university's,ORG,1,1
91.54 km,QUANTITY,1,1
56.88 mph,QUANTITY,1,1
6,CARDINAL,99,72
2–4,CARDINAL,1,1
74.52 km,QUANTITY,1,1
46.30 mph,QUANTITY,1,1
germany,GPE,246,109
the university of new south wales solar,ORG,1,1
delft university of technology,ORG,6,3
7,CARDINAL,65,50
90.71 km,QUANTITY,1,1
56.36 mph,QUANTITY,1,1
10–30 minute,TIME,1,1
some 3 hours later,TIME,1,1
aurora evolution,PERSON,1,1
15–25 october,DATE,1,1
76.73 km,QUANTITY,1,1
47.68 mph,QUANTITY,1,1
kogakuin university,ORG,2,2
bochum,PERSON,1,1
3rd,ORDINAL,18,12
8,CARDINAL,51,45
91.75 km,QUANTITY,1,1
57.01 mph,QUANTITY,1,1
the university of twente,ORG,2,2
just 8 minutes,TIME,1,1
the university of michigan,ORG,16,9
the last day,DATE,3,2
houston,GPE,5,4
mississippi,GPE,5,5
united states,GPE,77,52
8–15 october,DATE,1,1
2017-10-12,DATE,1,1
october,DATE,7,6
53,CARDINAL,7,6
24,CARDINAL,32,28
30,CARDINAL,50,40
sonnenwagen aachen,PERSON,1,1
20 years,DATE,20,14
80 km,QUANTITY,6,5
50 mph,QUANTITY,2,2
the day before,DATE,1,1
western sydney university,ORG,1,1
agoria,GPE,1,1
belgium,GPE,22,18
three months earlier,DATE,1,1
18 december 2020,DATE,1,1
12 february 2021,DATE,1,1
covid-19,DATE,1,1
october 2023 - at least 962 days,DATE,1,1
canada,GPE,167,87
sun grand prix,PRODUCT,3,3
annual,DATE,75,51
1995,DATE,43,37
south african,NORP,17,10
2008,DATE,142,91
european,NORP,107,66
chile,GPE,11,10
2013,CARDINAL,17,17
enercon,PERSON,11,2
135,CARDINAL,5,5
443,CARDINAL,2,2
126 m,MONEY,1,1
413 ft,QUANTITY,1,1
198 m,QUANTITY,1,1
650 ft,QUANTITY,1,1
up to 7.58 megawatts,QUANTITY,1,1
several years,DATE,10,10
v164-8.0,PRODUCT,1,1
2mw,ORDINAL,6,4
2002,DATE,75,54
e-112,ORG,2,1
112m to,MONEY,1,1
4.5mw,CARDINAL,2,1
6mw,ORDINAL,1,1
a later date,DATE,1,1
denmark,GPE,40,25
only 9,CARDINAL,1,1
135m,MONEY,1,1
127m vs 112/114m,MONEY,1,1
6mw to 7.58mw,DATE,1,1
11,CARDINAL,25,21
the ep8 e-126,PRODUCT,1,1
6 mw,QUANTITY,1,1
7.58,CARDINAL,2,1
7.6,CARDINAL,3,3
"about 2,500",CARDINAL,1,1
"2,800",CARDINAL,2,2
128,CARDINAL,2,2
220,CARDINAL,8,8
364,CARDINAL,2,2
"6,012 tonnes",QUANTITY,1,1
emden,GPE,1,1
$14 million,MONEY,1,1
june 2012,DATE,5,5
at least 147,CARDINAL,1,1
2010-2011,DATE,1,1
50-60,CARDINAL,2,2
120,CARDINAL,27,25
15-40,CARDINAL,1,1
200-400,CARDINAL,1,1
60 or more,CARDINAL,1,1
september 2010,DATE,1,1
enercon e-126 turbines,ORG,1,1
11,QUANTITY,1,1
max capacity,PERSON,1,1
"55,000",CARDINAL,1,1
83.38,CARDINAL,1,1
81.8mw,CARDINAL,1,1
markbygden wind farm,FAC,1,1
"1,101",CARDINAL,1,1
500,CARDINAL,55,41
km²,WORK_OF_ART,2,2
"4,000",CARDINAL,7,4
up to 12,CARDINAL,1,1
enercon e-101 3.05,PERSON,1,1
dragaliden,GPE,1,1
2010,DATE,164,101
6 january 2011,DATE,1,1
38,CARDINAL,11,11
8 february 2012,DATE,1,1
the summer of 2012,DATE,1,1
le mont,PERSON,1,1
52,CARDINAL,8,7
april 2012,DATE,6,6
2012,DATE,151,99
french,NORP,85,58
0.11−0.15,CARDINAL,1,1
watts,LOC,14,11
mpa,PERSON,2,2
cm3,GPE,2,2
cm3,WORK_OF_ART,1,1
tens of thousands,CARDINAL,4,4
detects electric,ORG,1,1
digital,ORG,8,7
ac measurement,PERSON,1,1
faraday,DATE,45,12
shunt resistor,PERSON,1,1
sensor,GPE,7,5
rogowski coil,PERSON,2,1
ac,PERSON,11,10
ac & dc,ORG,1,1
edwin hall,PERSON,2,1
1879,DATE,10,7
ohm,ORG,9,7
ac,ORG,29,17
cts,ORG,2,2
rogowski,PERSON,2,1
ct,ORG,1,1
\displaystyle v_{\rm,PRODUCT,1,1
_,CARDINAL,42,15
r}}i_{\rm,GPE,1,1
flux,GPE,7,7
anisotropic magneto resistance,PERSON,1,1
amr,ORG,2,2
gmr,ORG,2,1
tmr,ORG,2,1
cmr,ORG,1,1
gmi,PERSON,1,1
2016-06,DATE,1,1
the 17th century,DATE,3,3
pre-17th century,DATE,1,1
southeast asia,LOC,9,9
the pacific islands,LOC,1,1
50,CARDINAL,57,45
alexandria,GPE,9,8
c. 10th,DATE,1,1
12th century,DATE,1,1
1125,DATE,4,3
1232,DATE,1,1
chinese,NORP,60,37
c. 1500,PERSON,1,1
1543,DATE,1,1
spanish,NORP,16,16
1551 - taqi,QUANTITY,1,1
17th century,DATE,1,1
1629,DATE,5,4
1662,DATE,2,2
1665,DATE,1,1
1680,DATE,5,3
1690 - denis,QUANTITY,1,1
1698,DATE,8,6
18th century,DATE,1,1
1707,DATE,5,4
1712,DATE,16,8
1748,DATE,2,2
william cullen,PERSON,2,2
the university of glasgow,ORG,2,2
scotland,GPE,55,25
1759,DATE,4,3
- john harrison,PERSON,1,1
h3,PERSON,3,2
1769,DATE,10,6
james watt,PERSON,26,15
1787,DATE,3,3
joseph louis gay-lussac,PERSON,2,1
1802,DATE,5,4
1791,DATE,7,6
john barber,PERSON,4,4
1799,DATE,7,5
richard trevithick,PERSON,12,7
piston,GPE,44,24
19th century,DATE,3,3
gay-lussac's,PERSON,1,1
1807,DATE,5,5
1807 - franco,DATE,1,1
swiss,NORP,28,19
1816,DATE,9,5
1824 - nicolas,QUANTITY,1,1
1834 - jacob,DATE,1,1
1850s,DATE,2,2
1859,DATE,7,7
1861,DATE,6,4
beau de rochas,PERSON,2,2
1867,DATE,7,6
maxwell,ORG,4,3
1872,DATE,9,9
charles henry hall,PERSON,2,2
1873,DATE,10,10
william crookes,PERSON,2,2
1877,CARDINAL,2,1
"194,047",CARDINAL,1,1
1883,DATE,14,13
samuel griffin,PERSON,2,2
six,CARDINAL,121,60
1884,CARDINAL,3,2
charles a. parsons,PERSON,1,1
1886,DATE,8,7
"608,845",CARDINAL,1,1
five years,DATE,3,3
1897,DATE,18,14
20th century,DATE,4,4
heike kamerlingh,PERSON,1,1
1913,DATE,11,10
tesla,PRODUCT,7,5
tesla,CARDINAL,10,4
1929 - felix,DATE,1,1
"2,988,008",CARDINAL,1,1
1929,DATE,21,15
frank whittle,PERSON,6,3
1933,DATE,15,11
georges j. ranque,PERSON,1,1
1935,DATE,13,13
ralph h. fowler,PERSON,2,2
1937,DATE,13,10
hungarian,NORP,7,7
bela karlovitz,PERSON,2,2
1942 - r.s,DATE,1,1
gaugler,PERSON,1,1
general motors,ORG,11,10
between two,CARDINAL,24,22
1950s,DATE,5,5
1959,DATE,17,13
bell telephone laboratories usa,ORG,1,1
1962,DATE,23,17
william j. buehler,PERSON,1,1
frederick wang,PERSON,1,1
1992,DATE,48,37
serbia,GPE,3,3
usa,GPE,23,22
21st century,DATE,3,3
2011,CARDINAL,3,2
spin-1/2,ORG,1,1
roberto serra,PERSON,1,1
waterloo,GPE,1,1
abc,ORG,2,2
centro brasileiro de pesquisas,PERSON,1,1
2020,CARDINAL,15,13
winter period,DATE,1,1
winter season to the spring,DATE,1,1
about 50%,PERCENT,8,8
more than 100%,PERCENT,1,1
cloudy days,DATE,2,2
21,CARDINAL,43,32
june 2016,DATE,7,5
italian,NORP,41,26
7 january 2012,DATE,1,1
11 june 2016,DATE,1,1
the university of groningen,ORG,1,1
3.0,CARDINAL,6,6
hydro-mechanical,ORG,2,2
2.0,CARDINAL,13,13
the ocean grazer,LOC,1,1
matthew l. scullin,PERSON,3,2
under 30,DATE,1,1
1700,DATE,5,5
17.he,CARDINAL,1,1
mycoworks,ORG,1,1
peidong yang,PERSON,2,2
alphabet energy,PERSON,2,2
the world economic forum,ORG,3,3
scullin,GPE,3,1
davos.scullin,GPE,1,1
alphabet city,GPE,1,1
manhattan,GPE,18,12
the united nations international school,ORG,1,1
the university of pennsylvania,ORG,3,3
cum laude,PERSON,1,1
brick award,PERSON,1,1
"the university of california, berkeley",ORG,5,5
cleantech,PERSON,1,1
the kellogg school of management,ORG,1,1
haas school of business,ORG,1,1
hec paris,ORG,1,1
university of pennsylvania,ORG,1,1
the lawrence berkeley national laboratory,ORG,1,1
new york.he,GPE,1,1
bc kingdom,GPE,1,1
sic,ORG,21,7
sic matrix composite,PRODUCT,1,1
sic/sic,ORG,2,1
cvd,ORG,13,5
cvi,ORG,1,1
10–15%,PERCENT,3,3
10–20%,PERCENT,3,3
matrix,PERSON,2,2
creep,PERSON,2,2
>1000,DATE,1,1
1000,CARDINAL,34,30
sic/sic cmcs,ORG,4,1
around the early 1990s,DATE,1,1
rf mems,PERSON,1,1
zirconate titanate,PERSON,1,1
thin films,PERSON,1,1
the lg electronics institute of technology,ORG,1,1
seoul,GPE,17,2
south korea,GPE,32,20
2.5,CARDINAL,7,7
the u.s. army research laboratory,ORG,2,2
pzt,ORG,5,4
pzt,GPE,3,2
decades,DATE,38,27
15-30%,PERCENT,2,2
between 300,CARDINAL,1,1
450 nm,QUANTITY,2,2
black light,WORK_OF_ART,1,1
uva,PERSON,4,2
greenish,NORP,2,1
between 180 nm and 300 nm,QUANTITY,1,1
uvc,ORG,3,2
1972,DATE,19,18
deutsche bundespost,ORG,2,1
lumogen,ORG,1,1
1960,DATE,18,18
deutsche bundespost berlin,ORG,1,1
1961,DATE,23,21
deutsche post ag,ORG,1,1
deutsche post,ORG,2,1
gdr,GPE,5,3
the us post office department,ORG,1,1
the early 1960s,DATE,10,9
8¢,CARDINAL,1,1
1963,DATE,20,16
5¢,CARDINAL,1,1
ken lawrence,PERSON,1,1
the united states,GPE,327,128
katy,PERSON,1,1
tx,ORG,22,6
2007 29p,DATE,1,1
john b. sharkey,PERSON,1,1
j. chem,PERSON,4,3
195,CARDINAL,4,4
64,CARDINAL,8,7
195s,CARDINAL,1,1
harry c.,PERSON,1,1
1965,DATE,18,15
raytech industries,ORG,1,1
13–16,WORK_OF_ART,1,1
robert murray,PERSON,1,1
2015-01-30,DATE,1,1
2015-12-04,DATE,1,1
summer 2019,DATE,2,2
11.6gwh,CARDINAL,2,2
northern ireland,GPE,15,7
strangford lough,PERSON,2,2
787,CARDINAL,2,2
15 kilowatt,QUANTITY,2,2
the west coast,LOC,8,7
may 2003,DATE,3,3
north devon,GPE,3,3
300 kw,QUANTITY,8,7
april 2008,DATE,8,6
july 2008,DATE,8,8
1.2,CARDINAL,8,8
between 18 and 20 hours,TIME,2,2
